sep=\t	Library Name	Location Name	Call # Begin	Call # End	Image file				
!	Milner								
!!		Floor  2 Circulation Desk							
#			A 000	Z 9999	floor2range1.gif				
!!		Floor 2 Course Reserve Desk				? - Course Reserves may include items with call numbers outside of LC, or no call numbers at all. Can we abstain from call number limits?			
#			A 000	Z 9999	floor2range1.gif		Course Reserves are often listed under temporary location - will this system pick that up?		
!!		Floor  2 Course Reserve Desk: Building Use Only				? - Ditto above			
#			A 000	Z 9999	floor2range1.gif				
!!		Floor  2 Current Periodicals: Building Use Only							
#			A 000	Z 9999	floor2range2.gif				
!!		Floor  2 Media							
#			A 000	Z 9999	floor2range3.gif				
!!		Floor 2 Microform Area: Building Use Only							
#			A 000	Z 9999	floor2range4.gif				
!!		Floor  2 Reference Desk: Building Use Only							
#			A 000	Z 9999	floor2range5.gif				
!!		Floor  2 Reference: Building Use Only							
#			A 000	Z 9999	floor2range6.gif				
!!		Floor  2 Reference, Microform Indexes: Building Use Only							
#			A 000	Z 9999	floor2range7.gif				
!!		Floor 2 Documents Pamphlets							
#			A 000	Z 9999	floor2range7.gif	? - Docs Pamphlets have different call number system. Can we abstain from using call number limits?			
!!		Floor 2 Browsing Area							
#			A 000	Z 9999	floor2range8.gif	? - Browsing collection is small and does not have specific call number. Can we abstain from using call number limits?			
!!		Floor 2 New Books Shelves				? - New Books Shelves are only ever listed under temporary location - will this system pick that up?			
#			A 000	Z 9999	floor2range9.gif				
!!		Floor 3 Oversize Shelves							
#			A 000	F 9999	floor3range1.gif				
!!		FL3 Oversize Noncirc Shelves							
#			A 000	F 9999	floor3range1.gif				
!!		Floor 3 Shelves							
#			A 000	C 9999	floor3range2.gif				
#			D 000	E99.C6 D	floor3range3.gif				
#			E99.C6 E	F 9999	floor3range4.gif				
!!		Floor 3 Shelves: Building Use Only							
#			A 000	C 9999	floor3range2.gif				
#			D 000	E99.C6 D	floor3range3.gif				
#			E99.C6 E	F 9999	floor3range4.gif				
!!		Floor 4 Federal Documents Shelves							
#			DOC A 000	DOC Z 9999	floor4range1.gif	? - Another area where it would be nice to abstain from using call number limits.			
!!		Floor 4 Federal Documents Shelves: Building Use Only							
#			DOC A 000	DOC Z 9999	floor4range1.gif	? - Another area where it would be nice to abstain from using call number limits.			
!!		Floor 4 Shelves							
#			G 000	HB139.A35	floor4range2.gif				
#			HB139.A38	HD9720.5.C	floor4range3.gif				
#			HD9720.5.D	HQ1370	floor4range4.gif				
#			HQ1371	HV1421.S	floor4range5.gif				
