sep=\t	Library Name	Location Name	Call # Begin	Call # End	Image file	Sub-location name	Note display text
!	Brooklyn	
!!		Brooklyn 2M Periodicals					
#			PERIODICALS_AB	PERIODICALS_AN	shelf194.gif	Stacks Floor 2M	
!!		Brooklyn 2M Periodicals					
#			PERIODICALS_AN	PERIODICALS_AR	shelf195.gif	Stacks Floor 2M	
!!		Brooklyn 2M Periodicals					
#			PERIODICALS_AR	PERIODICALS_AR	shelf196.gif	Stacks Floor 2M	
!!		Brooklyn 2M Periodicals					
#			PERIODICALS_AR	PERIODICALS_BU	shelf197.gif	Stacks Floor 2M	
!!		Brooklyn 2M Periodicals					
#			PERIODICALS_BU	PERIODICALS_C0	shelf198.gif	Stacks Floor 2M	
!!		Brooklyn 2M Periodicals					
#			PERIODICALS_C0	PERIODICALS_D0	shelf199.gif	Stacks Floor 2M	
!!		Brooklyn 2M Periodicals					
#			PERIODICALS_D0	PERIODICALS_H0	shelf200.gif	Stacks Floor 2M	
!!		Brooklyn 2M Periodicals					
#			PERIODICALS_H0	PERIODICALS_J0	shelf201.gif	Stacks Floor 2M	
!!		Brooklyn 2M Periodicals					
#			PERIODICALS_J0	PERIODICALS_MA	shelf202.gif	Stacks Floor 2M	
!!		Brooklyn 2M Periodicals					
#			PERIODICALS_MA	PERIODICALS_MU	shelf203.gif	Stacks Floor 2M	
!!		Brooklyn 2M Periodicals					
#			PERIODICALS_MU	PERIODICALS_PE	shelf204.gif	Stacks Floor 2M	
!!		Brooklyn 2M Periodicals					
#			PERIODICALS_PE	PERIODICALS_SM	shelf205.gif	Stacks Floor 2M	
!!		Brooklyn 2M Periodicals					
#			PERIODICALS_SM	PERIODICALS_Z999	shelf206.gif	Stacks Floor 2M
!!		Brooklyn 3rd Floor East					
#				999_000000000000000	ref.gif	These items have moved. Ask for help at the reference desk.
!!		Brooklyn Art & Arch Periodicals					
#				Z	fl2.gif		Periodicals are shelved by publication title. Current issues are in the center room. Older issues are bound in volumes in the East and West rooms.						
!!		Brooklyn Artists' Books/Ask at Reference Desk					
#			0_000000000000000	999_990000000000000	ref.gif		Write down the call number and location to request item at reference desk.
!!		Brooklyn Children's Non-Fiction					
#			ACM000	ACM811_P	shelf186.gif	Floor 2M	
!!		Brooklyn Children's Fiction					
#			ACM811_P	ACMF	shelf187.gif	Floor 2M	
!!		Brooklyn Children's Fiction					
#			ACMF	ACMS	shelf188.gif	Floor 2M	
!!		Brooklyn Children's Fiction					
#			ACMS	ACMZ	shelf189.gif	Floor 2M
!!		Brooklyn Children's Oversize				
#			ACMS	ACMZ	shelf189.gif	Floor 2M
!!		Brooklyn Circulation Desk - CD/DVD					
#			0_000000000000000	999_990000000000000	circ.gif		Write down the call number and location to request item at circulation desk.	
!!		Brooklyn Circulation Desk - Maps					
#			0_000000000000000	999_990000000000000	circ.gif		Write down the call number and location to request item at circulation desk.
!!		Brooklyn Closed Stacks/Ask at Reference Desk					
#				999_990000000000000	ref.gif		Write down the call number and location to request item at reference desk.
!!		Brooklyn Closed Stacks Oversize/Ask at Reference Desk					
#				999_990000000000000	ref.gif		Write down the call number and location to request item at reference desk.
!!		Brooklyn Current Periodicals					
