sep=\t	Library Name	Location Name	Call # Begin	Call # End	Image file	Sub-location name	Note display text
!	Brooklyn	
!!		Brooklyn 2M Periodicals					
#			Periodicals AB	Periodicals AN	shelf194.gif	Stacks Floor 2M	
!!		Brooklyn 2M Periodicals					
#			Periodicals AN	Periodicals AR	shelf195.gif	Stacks Floor 2M	
!!		Brooklyn 2M Periodicals					
#			Periodicals AR	Periodicals AR	shelf196.gif	Stacks Floor 2M	
!!		Brooklyn 2M Periodicals					
#			Periodicals AR	Periodicals BU	shelf197.gif	Stacks Floor 2M	
!!		Brooklyn 2M Periodicals					
#			Periodicals BU	Periodicals C0	shelf198.gif	Stacks Floor 2M	
!!		Brooklyn 2M Periodicals					
#			Periodicals C0	Periodicals D0	shelf199.gif	Stacks Floor 2M	
!!		Brooklyn 2M Periodicals					
#			Periodicals D0	Periodicals H0	shelf200.gif	Stacks Floor 2M	
!!		Brooklyn 2M Periodicals					
#			Periodicals H0	Periodicals J0	shelf201.gif	Stacks Floor 2M	
!!		Brooklyn 2M Periodicals					
#			Periodicals J0	Periodicals MA	shelf202.gif	Stacks Floor 2M	
!!		Brooklyn 2M Periodicals					
#			Periodicals MA	Periodicals MU	shelf203.gif	Stacks Floor 2M	
!!		Brooklyn 2M Periodicals					
#			Periodicals MU	Periodicals PE	shelf204.gif	Stacks Floor 2M	
!!		Brooklyn 2M Periodicals					
#			Periodicals PE	Periodicals SM	shelf205.gif	Stacks Floor 2M	
!!		Brooklyn 2M Periodicals					
#			Periodicals SM	Periodicals Z999	shelf206.gif	Stacks Floor 2M
!!		Brooklyn 3rd Floor East					
#				999	ref.gif	These items have moved. Ask for help at the reference desk.
!!		Brooklyn Art & Arch Periodicals					
#				Z	fl2.gif		Periodicals are shelved by publication title. Current issues are in the center room. Older issues are bound in volumes in the East and West rooms.						
!!		Brooklyn Artists' Books/Ask at Reference Desk					
#			0	999.99	ref.gif		Write down the call number and location to request item at reference desk.
!!		Brooklyn Children's Non-Fiction					
#			ACM000	ACM811 P	shelf186.gif	Floor 2M	
!!		Brooklyn Children's Fiction					
#			ACM811 P	ACMF	shelf187.gif	Floor 2M	
!!		Brooklyn Children's Fiction					
#			ACMF	ACMS	shelf188.gif	Floor 2M	
!!		Brooklyn Children's Fiction					
#			ACMS	ACMZ	shelf189.gif	Floor 2M
!!		Brooklyn Children's Oversize				
#			ACMS	ACMZ	shelf189.gif	Floor 2M
!!		Brooklyn Circulation Desk - CD/DVD					
#			0	999.99	circ.gif		Write down the call number and location to request item at circulation desk.	
!!		Brooklyn Circulation Desk - Maps					
#			0	999.99	circ.gif		Write down the call number and location to request item at circulation desk.
!!		Brooklyn Closed Stacks/Ask at Reference Desk					
#				999.99	ref.gif		Write down the call number and location to request item at reference desk.
!!		Brooklyn Closed Stacks Oversize/Ask at Reference Desk					
#				999.99	ref.gif		Write down the call number and location to request item at reference desk.
!!		Brooklyn Current Periodicals					
#			A	Z	fl2.gif		Periodicals are shelved by publication title. Current issues are in the center room.
!!		Brooklyn Fiction					
#			A	BRO	shelf207.gif	Floor 1	
!!		Brooklyn Fiction					
#			BRO	DEI	shelf208.gif	Floor 1	
!!		Brooklyn Fiction					
